Date,Time,I80E_1EXIT
6/16/2013,01:00,375
6/16/2013,02:00,244
6/16/2013,03:00,152
6/16/2013,04:00,115
6/16/2013,05:00,126
6/16/2013,06:00,228
6/16/2013,07:00,375
6/16/2013,08:00,443
6/16/2013,09:00,586
6/16/2013,10:00,800
6/16/2013,11:00,1002
6/16/2013,12:00,1013
6/16/2013,13:00,1104
6/16/2013,14:00,1135
6/16/2013,15:00,1162
6/16/2013,16:00,1142
6/16/2013,17:00,1146
6/16/2013,18:00,946
6/16/2013,19:00,778
6/16/2013,20:00,927
6/16/2013,21:00,912
6/16/2013,22:00,818
6/16/2013,23:00,730
6/16/2013,00:00,398
6/17/2013,01:00,208
6/17/2013,02:00,146
6/17/2013,03:00,125
6/17/2013,04:00,160
6/17/2013,05:00,340
6/17/2013,06:00,752
6/17/2013,07:00,1075
6/17/2013,08:00,1241
6/17/2013,09:00,1061
6/17/2013,10:00,931
6/17/2013,11:00,927
6/17/2013,12:00,892
6/17/2013,13:00,938
6/17/2013,14:00,950
6/17/2013,15:00,967
6/17/2013,16:00,1082
6/17/2013,17:00,1116
6/17/2013,18:00,1171
6/17/2013,19:00,929
6/17/2013,20:00,755
6/17/2013,21:00,656
6/17/2013,22:00,582
6/17/2013,23:00,449
6/17/2013,00:00,280
6/18/2013,01:00,171
6/18/2013,02:00,134
6/18/2013,03:00,134
6/18/2013,04:00,160
6/18/2013,05:00,352
6/18/2013,06:00,786
6/18/2013,07:00,1145
6/18/2013,08:00,1282
6/18/2013,09:00,1094
6/18/2013,10:00,946
6/18/2013,11:00,895
6/18/2013,12:00,912
6/18/2013,13:00,878
6/18/2013,14:00,740
6/18/2013,15:00,966
6/18/2013,16:00,1061
6/18/2013,17:00,1196
6/18/2013,18:00,1150
6/18/2013,19:00,978
6/18/2013,20:00,790
6/18/2013,21:00,670
6/18/2013,22:00,567
6/18/2013,23:00,384
6/18/2013,00:00,328
6/19/2013,01:00,184
6/19/2013,02:00,141
6/19/2013,03:00,117
6/19/2013,04:00,158
6/19/2013,05:00,354
6/19/2013,06:00,723
6/19/2013,07:00,1177
6/19/2013,08:00,1227
6/19/2013,09:00,1111
6/19/2013,10:00,972
6/19/2013,11:00,937
6/19/2013,12:00,893
6/19/2013,13:00,986
6/19/2013,14:00,1009
6/19/2013,15:00,983
6/19/2013,16:00,1151
6/19/2013,17:00,1135
6/19/2013,18:00,1176
6/19/2013,19:00,987
6/19/2013,20:00,776
6/19/2013,21:00,688
6/19/2013,22:00,593
6/19/2013,23:00,503
6/19/2013,00:00,315
6/20/2013,01:00,205
6/20/2013,02:00,141
6/20/2013,03:00,122
6/20/2013,04:00,193
6/20/2013,05:00,347
6/20/2013,06:00,798
6/20/2013,07:00,1136
6/20/2013,08:00,1229
6/20/2013,09:00,1133
6/20/2013,10:00,933
